名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Darius,Garland,0.74,6.0,1.06,,
Rodney,McCray,0.74,6.0,1.06,,
Bobby C.,O'Gallagher,0.74,6.0,1.06,,
Larry,Steele,0.72,1.4,0.25,2.66,1.8
Ralph,Beard,0.69,5.6,0.99,,
John,McMahon,0.69,5.6,0.99,,
Stanley,Miasek,0.69,5.6,0.99,,
Steve,Sheppard,0.69,5.6,0.99,,
M.L.,Carr,0.68,2.0,0.35,2.47,1.45
Darrell,Walker,0.64,0.0,0.0,2.85,2.15
Joe,White,0.63,5.1,0.9,,
Darrell,Armstrong,0.62,0.0,0.0,2.81,2.08
Vin,Baker,0.62,5.0,0.88,,
LaMelo,Ball,0.62,5.0,0.88,,
Rick,Robey,0.62,5.0,0.88,,
Kerry,Kittles,0.6,0.0,0.0,2.77,2.0
Sam,Bowie,0.56,0.0,0.0,2.7,1.87
Boris,Diaw,0.55,4.4,0.78,,
Toni,Kukoc,0.55,4.4,0.78,,
Nikola,Vucevic,0.55,4.4,0.78,,
Kevin,Edwards,0.54,0.0,0.0,2.66,1.8
Alvan,Adams,0.52,0.7,0.12,2.47,1.45
Carl,Braun,0.52,4.2,0.74,,
Frank,Brian,0.52,4.2,0.74,,
Tom,Gugliotta,0.52,0.0,0.0,2.62,1.72
Gary,Phillips,0.52,4.2,0.74,,
Fred,Scolari,0.52,4.2,0.74,,
Bruce,Bowen,0.5,4.0,0.71,,
Simon,Davis,0.5,4.0,0.71,,
Anthony,Edwards,0.5,4.0,0.71,,
Rudy,Gobert,0.5,4.0,0.71,,
Eddie,Johnson,0.5,4.0,0.71,,
Larry,Johnson,0.5,4.0,0.71,,
Dan,Majerle,0.5,4.0,0.71,,
Derrick,McKey,0.5,4.0,0.71,,
Dejounte,Murray,0.5,4.0,0.71,,
Isaiah,Thomas,0.5,4.0,0.71,,
Kermit,Washington,0.5,4.0,0.71,,
Louis,Williams,0.47,0.0,0.0,2.54,1.58
Caron,Butler,0.44,0.0,0.0,2.49,1.48
Dee,Brown,0.43,0.0,0.0,2.47,1.45
Howard,Dallmar,0.43,3.5,0.62,,
Cornelius,Hawkins,0.43,3.5,0.62,,
Edward,Sadowski,0.43,3.5,0.62,,
Donald,Smith,0.43,3.5,0.62,,
John,Williams,0.43,0.0,0.0,2.47,1.45
Jim,Brewer,0.42,3.4,0.6,,
Pervis,Ellison,0.4,0.0,0.0,2.4,1.32
Michael,Cage,0.37,3.0,0.53,,
Kyrie,Irving,0.37,3.0,0.53,,
Kristaps,Porzingis,0.37,3.0,0.53,,
D'Angelo,Russell,0.37,3.0,0.53,,
Ernie,DiGregorio,0.34,2.8,0.49,,
Stanley,Washington,0.34,2.8,0.49,,
Terry,Tyler,0.31,0.0,0.0,2.25,1.04
Antonio,McDyess,0.3,2.0,0.35,1.78,0.17
Cliff,Robinson,0.27,2.0,0.35,1.73,0.07
Frank,Baumholtz,0.26,2.1,0.37,,
Ernest,Calverley,0.26,2.1,0.37,,
Al,Cervi,0.26,2.1,0.37,,
Phil,Chenier,0.26,2.1,0.37,,
Archie,Clark,0.26,2.1,0.37,,
Lawrence,Costello,0.26,2.1,0.37,,
Herman,Gilliam,0.26,2.1,0.37,,
Tom,Gola,0.26,2.1,0.37,,
Charles,Halbert,0.26,2.1,0.37,,
Richard,McGuire,0.26,2.1,0.37,,
Kenneth,Sailors,0.26,2.1,0.37,,
Fred,Schaus,0.26,2.1,0.37,,
Edward,Smith,0.26,2.1,0.37,,
Bol,Bol,0.24,2.0,0.35,,
Michael,Carr,0.24,2.0,0.35,,
